time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial
1452625464417,1452625469944,350.96620570868254,exploded,LB20FP13,1.0874628412503393,54,2,0.046511627906976744,57,45,43,5.527
1452625488970,1452625493328,113.65613585337996,outerRadius,LB20FP13,1.6438561897747246,57,-3,-0.038461538461538464,22,75,78,4.358
1452625475273,1452625488968,123.78207360394299,ellipse,LB20FP13,2.8328900141647417,56,-7,-0.3181818181818182,78,15,22,13.695
1452625445930,1452625450864,205.2484500221908,square,LB20FP13,1.6438561897747246,51,-3,-0.038461538461538464,22,75,78,4.934
1452625441193,1452625445929,290.18929042853415,pie,LB20FP13,3.3398500028846247,50,-10,-0.11494252873563218,13,77,87,4.736
1452625455393,1452625464417,38.83465625345707,outerRadius,LB20FP13,3.189824558880017,53,9,0.16071428571428573,44,65,56,9.024
1452625450865,1452625455392,235.71044725365937,exploded,LB20FP13,1.6438561897747246,52,3,0.05263157894736842,43,60,57,4.527
1452625469945,1452625475272,167.00394672341645,square,LB20FP13,1.6438561897747246,55,3,0.08108108108108109,63,40,37,5.327
1452625344467,1452625354795,128.82921379990876,exploded,LB20FP13,2.8328900141647417,37,-7,-0.08536585365853659,18,75,82,10.328
1452625211931,1452625220074,298.9302788581699,ellipse,LB20FP13,2.0443941193584534,18,4,0.0975609756097561,59,45,41,8.143
1452625320851,1452625327203,56.67836110107601,square,LB20FP13,1.0874628412503393,33,2,0.06451612903225806,69,33,31,6.352
1452625501047,1452625523454,121.37085705064237,outerRadius,DA71AE14,0.16992500144231237,30,1,0.01282051282051282,22,79,78,22.407
1452625491712,1452625496774,348.47888759337366,exploded,DA71AE14,1.0874628412503393,28,-2,-0.0625,68,30,32,5.062
1452625657985,1452625663458,124.25598976202309,ellipse,DA71AE14,1.0874628412503393,45,2,0.024390243902439025,18,84,82,5.473
1452625496776,1452625501046,329.0157048404217,square,DA71AE14,1.6438561897747246,29,3,0.04477611940298507,33,70,67,4.27
1452625566872,1452625576278,35.33753531053662,pie,DA71AE14,2.6147098441152083,36,6,0.10714285714285714,44,62,56,9.406
1452625550951,1452625566871,41.57422497868538,outerRadius,DA71AE14,0.16992500144231237,35,-1,-0.010869565217391304,8,91,92,15.92
1452625533819,1452625540230,319.0107000153512,exploded,DA71AE14,1.6438561897747246,32,-3,-0.07894736842105263,62,35,38,6.411
1452625466768,1452625471318,329.7628930862993,ellipse,DA71AE14,1.0874628412503393,24,-2,-0.022988505747126436,13,85,87,4.55
1452625471319,1452625479440,204.76668764837086,square,DA71AE14,3.3398500028846247,25,10,0.18181818181818182,45,65,55,8.121
1452625479441,1452625486110,170.9229577705264,exploded,DA71AE14,2.357552004618084,26,-5,-0.07142857142857142,30,65,70,6.669
1452625486111,1452625491710,140.32547587528825,outerRadius,DA71AE14,3.7142455176661224,27,13,0.52,75,38,25,5.599
1452625438943,1452625443415,27.59459945373237,pie,DA71AE14,1.0874628412503393,20,-2,-0.025,20,78,80,4.472
1452625443416,1452625456309,42.97927829436958,ellipse,DA71AE14,1.0874628412503393,21,-2,-0.05,60,38,40,12.893
1452625456310,1452625460238,190.22835865616798,exploded,DA71AE14,1.6438561897747246,22,3,0.6,95,8,5,3.928
1452625460240,1452625466767,107.56024246104062,outerRadius,DA71AE14,0.16992500144231237,23,1,0.07142857142857142,86,15,14,6.527
1452625663459,1452625670896,52.4495489615947,exploded,DA71AE14,0.16992500144231237,46,-1,-0.09090909090909091,89,10,11,7.437
1452625670897,1452625674656,324.79717486537993,ellipse,DA71AE14,4.011227255423254,47,-16,-0.5161290322580645,69,15,31,3.759
1452625651840,1452625657984,29.48129310272634,pie,DA71AE14,2.6147098441152083,44,-6,-0.16216216216216217,63,31,37,6.144
1452625674657,1452625678815,295.86389486677945,square,DA71AE14,-3,48,0,0,15,85,85,4.158
1452625628504,1452625641719,89.89050359465182,square,DA71AE14,-3,42,0,0,59,41,41,13.215
1452625641720,1452625651839,95.36215173080564,outerRadius,DA71AE14,2.357552004618084,43,5,0.2631578947368421,81,24,19,10.119
